COMPANY;CATEGORY;DESCRIPTION
Transmontaigne;Oil & gas operations;"TransMontaigne GP LLC., formerly NYSE:TMG, is an oil pipeline and terminal company based in Denver, Colorado. In 2006, it was the 269th largest company in the United States and as of 2012 it was the 17th largest privately owned company.  On September 1, 2006, it became a wholly owned subsidiary of Morgan Stanley, and subsequently delisted from the New York Stock Exchange. In 2014, Morgan Stanley sold TransMontaigne to NGL Energy. In February 2016 NGL sold TransMontaigne GP LLC to ArcLight Capital Partners for $350 million in cash with Gulf TLP Holdings LLC an affiliate of ArcLight holding a controlling interest.
TransMontaigne Partners L.P. (NYSE: TLP) is a publicly traded Delaware limited partnership formed by TransMontaigne Inc. in February 2005. TransMontaigne Partners is a terminal operating and transportation company, headquartered in Denver. It has operations along the Gulf Coast, in Brownsville, Texas, along the Mississippi and Ohio Rivers and in the U.S. Midwest and East Coast. Terminals are located in Alabama, Arkansas, Florida, Georgia (U.S. state), Indiana, Kentucky, Mississippi, Missouri, North Carolina, Ohio, Oklahoma, South Carolina, Texas, and Virginia."
IDB Holding;Diversified financials;"Leon Recanati (Hebrew: ליאון רקנאטי; born May 10, 1948) is an Israeli businessman and philanthropist.


== Biography ==
Leon Recanati is the son of Mathilda and Daniel Recanati. His father served as CEO of the Israel Discount Bank and along with his brothers, established the IDB Holding Corporation. After completing his military service, Recanati earned a B.A. in economics and an M.B.A. at Hebrew University in Jerusalem. Leon Recanati is married to artist Mira Recanati. They have two children, Daniel and Dafna who is married to American philanthropist and investor Thomas Kaplan. Recanati has a younger daughter May from a past relationship with Shula Recanati.


== Business career ==
In 1971, he worked for the Israel Discount Bank – which was founded by his grandfather, Leon Yehuda Recanati. In 1979, he was appointed deputy CEO with responsibility for all branches and marketing. He largely escaped the scandal of the 1983 Israel bank stock crisis."
Yamazaki Baking;Food drink & tobacco;Error: HTTPConnectionPool(host='en.wikipedia.org', port=80): Max retries exceeded with url: /w/api.php?list=search&srprop=&srlimit=1&limit=1&srsearch=Yamazaki+Baking&format=json&action=query (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x106b3a360>, 'Connection to en.wikipedia.org timed out. (connect timeout=None)'))
Buderus;Construction;"Danny Buderus (born 6 February 1978) is an Australian rugby league commentator, coach and former professional footballer who played in the 1990s, 2000s and 2010s. An Australian international and New South Wales State of Origin representative hooker, he played in the National Rugby League for Australian club, the Newcastle Knights, with whom he won a Dally M Medal, and the 2001 NRL Premiership before setting a new record for most games with the club. Buderus also played in the Super League for English club, the Leeds Rhinos, with whom he won 2011's Super League XVI. He set the record for most appearances as captain of the New South Wales State of Origin team at 15 and for most consecutive appearances for the side at 21. Buderus also played representative football for the Exiles and New South Wales Country. In 2015, he took up an interim coaching role with the Knights and continued as an assistant coach in 2016.


== Background ==
Buderus was born in Taree, New South Wales, Australia.
He played his junior football for Taree Red Rovers and played 1 season for Taree United. In 1995, while attending St Francis Xavier's College, Hamilton, Buderus played for the Australian Schoolboys team. Other players to also come through this well-known rugby league nursery under the tutelage of Mark Wright include Owen Craigie, Jarrod Mullen, Paul Dan and Anthony Tupou.


== Professional playing career ==


=== Newcastle Knights ===
In Round 3 of the 1997 ARL season Buderus made his ARL début for the Newcastle Knights against the South Queensland Crushers."
SEI Investments;Diversified financials;"Error: Page id ""sfi investments company"" does not match any pages. Try another id!"
Oita Bank;Banking;"Crasus Dome Õita is a retractable roof, multi-purpose stadium in the city of Ōita in Ōita Prefecture on Kyushu Island in Japan.
The stadium was built for Ōita Prefecture, which still owns it. Design was led by the famous architect Kisho Kurokawa and his firm Kisho Kurokawa Architect & Associates, and construction was carried out by a construction group led by the Takenaka Corporation. The stadium opened as Oita Stadium in May 2001.
In 2006 it was renamed Kyushu Oil Dome (九州石油ドーム, Kyūshū Sekiyu Dōmu), as a result of a sponsorship deal with Kyushu Oil. In early 2010, the stadium was renamed Õita Bank Dome (大分銀行ドーム, Ōita Ginkō Dōmu) when sponsorship shifted to Oita Bank. In early 2019, the stadium was renamed Showa Denko Dome Oita (昭和電工ドーム大分) after Showa Denko acquired naming rights. On 1 January 2023 Showa Denko merged with another company, forming Resonac Holdings Corporation.
Since January 2025, as a result of a sponsorship deal with Crasus Chemical Co., Ltd (a subsidiary of Resonac) the stadium is now called Crasus Dome Oita.
The stadium is primarily used for football and is the home field of J.League club Ōita Trinita."
Kuhne & Nagel Intl;Transportation;No Wikipedia page found
Hyundai Eng & Const;Construction;"The Kori Nuclear Power Plant (Korean: 고리원자력발전소, Hanja: 古里原子力發電所) is a South Korean nuclear power plant located in Kori, a suburban village in Busan. It is the world's second largest fully operational nuclear generating station by total reactor count and the number of currently operational reactors since 2016, after it exceeded in nameplate capacity Canada's Bruce Nuclear Generating Station. It is owned and operated by Korea Hydro & Nuclear Power, a subsidiary of KEPCO. The first reactor began commercial operation in 1978 and operated until 2017 when it was decommissioned. Units 2, 3, and 4 started commercial operations in the 1980s. All reactors on site are pressurized water reactors.


== Reactors ==
An expansion of the plant begun in 2006 added four new Korean-sourced reactors, the so-called Shin Kori reactors (Korean: 신고리; shin 신 meaning ""new""). The first pair of Shin Kori reactors are of the OPR-1000 design, while the second two are the APR-1400 design. Shin Kori 1 and 2 achieved commercial operations in 2011 and 2012 respectively, with Shin Kori 3 and 4 achieving commercial operations in 2016 and 2019. Construction on two further APR-1400 reactors, known as Shin Kori-5 and Shin Kori-6, was started in April 2017 and September 2018, respectively.
In November 2019, the reactor pressure vessel of the 1340MWe APR-1400 reactor to be housed in Shin Kori 5 was installed."
Puget Energy;Utilities;"Puget Sound Energy, Inc. (PSE) is an energy utility company based in the U.S. state of Washington that provides electrical power and natural gas to the Puget Sound region. The utility serves electricity to more than 1.2 million customers in Island, King, Kitsap, Kittitas, Pierce, Skagit, Thurston, and Whatcom counties, and provides natural gas to 877,000 customers in King, Kittitas, Lewis, Pierce, Snohomish and Thurston counties. The company's electric and natural gas service area spans 6,000 square miles (16,000 km2).


== Facilities ==
PSE's electric supplies include utility-owned resources as well as those under long-term contract, for a total capacity of 5,044 megawatts (MW), of which 3,597 MW is PSE-owned generating capacity.
PSE owns coal, hydroelectric, natural gas and wind power-generating facilities, with more than 3,500 MW of capacity. In 2018, PSE's generation was 36% coal, 32% hydroelectric, 20% natural gas, and 10% wind derived. Less than one percent originated from other energy efficiency programs.
Coal accounted for 36% of PSE's electricity fuel mix in 2018. PSE's partial ownership of Eastern Montana's Colstrip Generating Station represents the single largest power-generating facility PSE owns, approximately 700 MW of generating capacity."
Shikoku Bank;Banking;"The Shikoku Bank, Ltd. is a Japanese regional bank founded on October 17, 1878, and headquartered in Kōchi, Japan. Its services include deposits, loans, foreign exchange, insurance, mutual funds real estate maintenance, computer-related business, industrial, venture capital economic and financial research studies. As of March 31, 2010, the company had seven subsidiaries and one associated company.


== Seppuku pledge ==
In November 2024, screenshots of the bank's pledge on its website went viral. According to the bank's website, 23 employees, including President Miura, have signed a blood-stamped document vowing to commit seppuku if they are found guilty of engaging in financial irregularities, embezzlement or other fraudulent activities. The pledge reads, ""Anyone employed by this bank who has stolen money or caused others to steal from the bank will pay for it with his or her property and then commit suicide"". The pledge was a custom from their predecessor bank, 37th National, since 1878."
Community Health Sys;Health care equipment & services;"Crozer Health was a four-hospital health system based in Delaware County, Pennsylvania, and serving Delaware County, northern Delaware, and parts of western New Jersey.


== History ==
In 1893, the 48-bed Chester Hospital opened to serve the growing population of Chester, Pennsylvania. Ten years later, the J. Lewis Crozer Homeopathic Hospital opened nearby in Upland, Pennsylvania. In 1958, the J. Lewis Crozer Homeopathic Hospital was renamed Crozer Hospital and in 1963 merged with Chester Hospital to officially become the Crozer-Chester Medical Center.
Plans for a new hospital in Upper Darby Township, Pennsylvania, were drawn in 1925 and the Delaware County Hospital was chartered. It opened to the public on July 1, 1927, with 56 beds and 11 bassinets. The hospital was renamed Delaware County Memorial Hospital in 1959.
In 1970, the Crozer-Chester Medical Center expanded its campus by taking over the grounds of the Crozer Theological Seminary. This school originated as a normal school, built by the textile manufacturer John Price Crozer and was used as an Army hospital during the American Civil War and as part of the Pennsylvania Military Academy.
The Crozer Theological Seminary served as an American Baptist Church school and trained seminarians for entry into the Baptist ministry from 1869 to 1970."
Awa Bank;Banking;"Bendigo and Adelaide Bank (trading as Bendigo Bank), is an Australian financial institution, operating primarily in retail banking. The company was formed by the merger of Bendigo Bank and Adelaide Bank in November 2007.
Prior to the merger, Bendigo Bank operated nearly 900 outlets across Australia, including over 160 company-owned branches, 220 community-owned Community Bank branches, 100 agencies, and 400 Elders outlets. The bank's branches were mainly located in Victoria and Queensland. Post-merger, the combined bank operates more than 400 branches, including 25 that were part of Adelaide Bank.
The bank's national headquarters are in Bendigo, Victoria with a major office in Adelaide, South Australia and regional offices in Docklands, Melbourne and Ipswich, Queensland.


== History and development ==
The company started in 1858 as a fixed-term (terminating) building society to improve conditions in the Bendigo goldfields during the Victorian gold rush.

At seven years old, in 1865, the company restructured, taking the name Bendigo Mutual Permanent Land and Building Society, which incorporated in Victoria 11 years afterwards. It continued to expand its holdings when, in 1978, it merged with Bendigo and Eaglehawk Star, a building society established in 1901.
Further growth involved the acquisition of the building societies Sandhurst, in 1983, and Sunraysia, in 1985, a merger with Sandhurst Trustees Ltd and the acquisition of Capital and Compass building societies."
Toto;Construction;"Error: Page id ""to to"" does not match any pages. Try another id!"
JSR;Chemicals;JSE Limited (previously the JSE Securities Exchange and the Johannesburg Stock Exchange) is the largest stock exchange in Africa. It is located in Sandton, Johannesburg, South Africa, after it moved from downtown Johannesburg in 2000.
Stanley Works;Consumer durables;"Stanley Black & Decker, Inc., formerly known as The Stanley Works, is a Fortune 500 American manufacturer of industrial tools and household hardware, and a provider of security products. Headquartered in the Greater Hartford city of New Britain, Connecticut, Stanley Black & Decker is the result of the merger of The Stanley Works and Black & Decker on March 12, 2010.


== History ==
The Stanley Works came to existence as a direct result of the 1920 merger of Stanley's Bolt Manufactory, founded by Frederick Trent Stanley in 1843, and the Stanley Rule and Level Company, founded by Frederick's cousin, Henry Stanley, in 1857. DeWalt was acquired in 1960, and sold to Black & Decker.
In March 12, 2010 Black & Decker merged with Stanley Works to become Stanley Black & Decker. It’s a wholly owned subsidiary of that company.
During World War II, Stanley Works received the Army-Navy ""E"" Award for excellence in war production.

In May 2002, the company considered moving its corporate headquarters to Bermuda, but public and governmental outcry forced management to reconsider the move.  By August 2002, the company had decided to maintain its incorporation in the United States.
John F. Lundgren was elected as chairman and chief executive officer in 2004, replacing John Trani, a former protégé of Jack Welch at General Electric."
AWG;Utilities;"American Wire Gauge (AWG) is a logarithmic stepped standardized wire gauge system used since 1857, predominantly in North America, for the diameters of round, solid, nonferrous, electrically conducting wire. Dimensions of the wires are given in ASTM standard B 258. The cross-sectional area of each gauge is an important factor for determining its current-carrying capacity.


== Origin ==
The AWG originated in the number of drawing operations used to produce a given gauge of wire. Very fine wire (for example, 30 gauge) required more passes through the drawing dies than 0 gauge wire did. Manufacturers of wire formerly had proprietary wire gauge systems; the development of standardized wire gauges rationalized selection of wire for a particular purpose.
While the AWG is essentially identical to the Brown & Sharpe (B&S) sheet metal gauge, the B&S gauge was designed for use with sheet metals. These are functionally interchangeable but the use of B&S in relation to wire gauges, rather than sheet metal gauges, is technically improper.


== Specifications ==
Increasing gauge numbers denote logarithmically decreasing wire diameters, which is similar to many other non-metric gauging systems such as British Standard Wire Gauge (SWG). However, AWG is dissimilar to IEC 60228, the metric wire-size standard used in most parts of the world, based directly on the wire cross-section area (in square millimetres, mm2)."
Yamanashi Chou Bank;Banking;"The Chuo Shinkansen (中央新幹線, Central Shinkansen) is a Japanese maglev line under construction between Tokyo and Nagoya, with plans for extension to Osaka. Its initial section is between Shinagawa Station in Tokyo and Nagoya Station in Nagoya, with stations in Sagamihara, Kōfu, Iida and Nakatsugawa. Following the completion of the Tokyo–Nagoya line, the line will extend to stations in Mie, Nara and Osaka. The line is expected to connect Tokyo and Nagoya in 40 minutes, and eventually Tokyo and Osaka in 67 minutes, running at a maximum speed of 505 km/h (314 mph). About 90% of the 286-kilometer (178 mi) line to Nagoya will be tunnels.
The Chuo Shinkansen is the culmination of Japanese maglev development since the 1970s, a government-funded project initiated by Japan Airlines and the former Japanese National Railways (JNR). Central Japan Railway Company (JR Central) now operates the facilities and research. The line is intended to extend and incorporate the existing Yamanashi test track (see below). The trainsets are popularly known in Japan as linear motor car (リニアモーターカー, rinia mōtā kā), though there are many technical variations.
Government permission to proceed with construction was granted on 27 May 2011."
Maeda;Construction;"Mae (stylized mae) is an American rock band that formed in Norfolk, Virginia in 2001. The band's name is an acronym for ""Multisensory Aesthetic Experience"", based on a course taken by drummer Jacob Marshall while a student at Old Dominion University.


== History ==


=== Early years with Tooth and Nail (2001–2006) ===
Jacob Marshall and Dave Elkins began what would become Mae by writing their first song, ""Embers and Envelopes"", in Marshall's living room. The band signed with Tooth and Nail Records and released their first album, Destination: Beautiful, in 2003. They released their second full-length album, The Everglow, in 2005. The band toured extensively to promote it, and also performed on the Vans Warped Tour. Mae re-released The Everglow in 2006, adding three new songs and a two-hour DVD.


=== Move to Capitol, Singularity, and (m)(a)(e) EPs (2006–2012) ===
Later in 2006, the band signed to Capitol Records for their third full-length album. Mae began recording the album in the fall of 2006, working with producer Howard Benson (who has produced albums for Saosin, My Chemical Romance, Blindside, and Relient K). The album, titled Singularity, was released on August 14, 2007. On June 19, 2007, the band released the first single from Singularity, ""Sometimes I Can't Make It Alone""."
Macerich;Diversified financials;"The Macerich Company ( MAYSS-ritch) is a real estate investment trust that invests in shopping centers. It is the third-largest owner and operator of shopping centers in the United States. As of December 31, 2020, the company owned interests in 52 properties comprising 50 million square feet of leasable area. The company name is a portmanteau of its founders, Mace Siegel and Richard Cohen.


== History ==
The company traces its antecedents to the MaceRich Real Estate Company founded in New York in 1964 by Mace Siegel and Richard Cohen who combined their first names to name their company.
In 1994, the company became a public company via an initial public offering.
In 2002, Macerich acquired Phoenix, Arizona-based Westcor for $1.475 billion. The purchase added 9 properties to Macerich's portfolio making them the largest mall owner in the Phoenix Metropolitan Area.
In 2005, the company acquired most of Rochester, New York-based Wilmorite Properties' portfolio for $2.333 billion, adding 11 shopping centers to Macerich's portfolio, including Tysons Corner Center in Tysons, Virginia.
In 2006, the company name was rebranded to ""Macerich.""
On April 1, 2015, the company rejected a $16.8 billion takeover offer from Simon Property Group, claiming that the offer undervalued the company."
Jiangsu Expressway;Transportation;Jiangsu Expressway Company Limited (SEHK: 177,SSE: 600377) is a road constructions and operations enterprise incorporated in the People's Republic of China. It is engaged in the investment, construction, operation and management of toll expressways in Jiangsu Province, China. The expressways include Shanghai-Nanjing Expressway, Shanghai-Nanjing section of China National Highway 312, Xicheng Expressway, Guangjing Expressway, Nanjing section of Nanjing-Lianyungang Expressway, Jiangsu section of the Sujiahang Expressway and Jiangyin Yangtze River Bridge.
R&G Financial;Banking;"The R & G Financial Corporation (commonly known as RG Financial or R-G Financial) was a financial holding company located in San Juan, Puerto Rico. On April 30, 2010, its bank failed and its deposits and assets were seized by the Federal Deposit Insurance Corporation (FDIC). Its deposits and assets were subsequently sold to Scotiabank. On May 14, R & G Financial Corporation filed for Chapter 11 bankruptcy.
RG used to offer a full range of financial services in Puerto Rico and the State of Florida through its wholly owned subsidiaries. Its main subsidiaries were RG Premier Bank, a business and consumer financial services company offering banking services, trust and brokerage services, and various types of loans, and RG Mortgage, which was one of the largest mortgage lenders in the island. Its headquarters were located at 290 Jesús T. Piñero Avenue in Hato Rey, San Juan.


== Summary ==
RG Financial Corp's chief assets and sources of income are its commercial loans (which mainly consist of commercial real estate loans and construction loans), consumer loans  (which mainly consist of auto loans, personal loans and credit card loans), and residential mortgage loans. RG Financial offers banking services through a network of 66 branches (2005) between two of its subsidiaries, the largest being RG Premier Bank in Puerto Rico and the second being RG Crown Bank in the Orlando, Tampa and St. Petersburg cities of Florida."
Questar;Utilities;"Questar Corporation is a company based in New Hope, Pennsylvania. It manufactures precision optical devices for consumer, industrial, aerospace, and military markets. Its telescopes produced for the consumer market are sold under the brand name ""Questar"".


== History ==
Questar was founded in 1950 by Lawrence Braymer, who set up Questar to develop and market Maksutov telescopes and other optical devices for the consumer, industrial, and government customers.  The Questar Standard telescope has been in production since 1954.
Questars have been associated with many well-known scientists and other personalities; for example, in 1959, Wernher von Braun purchased a telescope manufactured by the company.


== Products ==
Questar produces telescopes for consumer, military, police, security, aerospace, and industrial applications. Products sold by Questar include 3.5” (89 mm) and 7” (178 mm) aperture Maksutov Cassegrain astronomical/terrestrial telescopes for the consumer market. For a while they also offered 12-inch (300 mm)-aperture optical-tube assemblies. They are used in astronomy, nature study, radar calibration/boresighting/tracking rocket launches, surveillance, and as long-distance microscopes."
Britannic Group;Insurance;"Resolution plc was a UK insurance company headquartered in the City of London. It was listed on the London Stock Exchange and was once a constituent of the FTSE 100 Index but was acquired by the Pearl Group in May 2008.


== History ==


=== Early history ===
The Resolution Life group was formed in 2004 to provide a vehicle for life funds that have been closed to new business, but have liabilities extending many years into the future, nicknamed zombie funds. The first purchase was the life insurance business of Royal & SunAlliance, followed by the purchase of Swiss Life's UK business.
In September 2005, Resolution Life merged with the FTSE company Britannic Group, who had closed to new business in 2003.
In 2006, the merged group bought the life business of Abbey National, a transaction of £3.6 billion that brought entry into the FTSE 100.
On 30 May 2007 Resolution announced a strategic partnership with Capita which will result in the transfer of approximately two thousand staff in Customer Services and IT and phased outsourcing of back-office customer services to India.


=== Takeover by Pearl Group ===
On 25 July 2007 Resolution agreed a merger with Friends Provident to create a new entity, Friends Financial, with a market cap of circa £8.6Bn, however by September 2007 it was announced that Hugh Osmond's Pearl Group, a critic of the proposed merger with Friends Provident, had undergone talks with Swiss Re about a potential deal to take over Resolution, but talks broke down. On 10 October 2007, Pearl made a formal offer of 660 pence per share, worth approximately £4.5 billion, in conjunction with the Royal London Mutual Insurance Society. Standard Life and Swiss Re also entered the bidding for Resolution, and for a brief period on 26 October 2007 their cash and shares bid, worth £4.9 billion was recommended by the board, which called off any deal with Friends Provident."
Marconi;Technology hardware & equipment;"Guglielmo Giovanni Maria Marconi, 1st Marquess of Marconi (; Italian: [ɡuʎˈʎɛlmo dʒoˈvanni maˈriːa marˈkoːni]; 25 April 1874 – 20 July 1937) was an Italian electrical engineer, inventor, and politician known for his creation of a practical radio wave-based wireless telegraph system. This led to Marconi being credited as the inventor of radio  and sharing the 1909 Nobel Prize in Physics with Karl Ferdinand Braun ""in recognition of their contributions to the development of wireless telegraphy"".
His work laid the foundation for the development of radio, television, and all modern wireless communication systems.
Marconi was also an entrepreneur and businessman who founded the Wireless Telegraph & Signal Company (which became the Marconi Company) in the United Kingdom in 1897. In 1929, Marconi was ennobled as a marquess (marchese) by Victor Emmanuel III. In 1931, he set up Vatican Radio for Pope Pius XI.


== Biography ==


=== Early years ===
Guglielmo Giovanni Maria Marconi was born in Palazzo Marescalchi in Bologna on 25 April 1874, the second son of Giuseppe Marconi (an Italian aristocratic landowner from Porretta Terme who lived in the countryside of Pontecchio) and his Irish wife Annie Jameson (daughter of Andrew Jameson of Daphne Castle in County Wexford, a land agent, and wife Margaret, daughter of James Cochrane of Glen Lodge, Sligo, and sister of Scottish naturalist James Sligo Jameson, and granddaughter of John Jameson of Dublin, the Scottish founder of whiskey distillers Jameson & Sons). His father, who was a widower with a son, Luigi, married Jameson on 16 April 1864 in Boulogne-sur-Mer, France. Alfonso, Marconi's older brother, was born in 1865. Between the ages of two and six, Marconi and Alfonso lived with their mother in the English town of Bedford. Having an Irish mother helped explain Marconi's many activities in Great Britain and Ireland. When Guglielmo was three years old, on 4 May 1877, Giuseppe Marconi decided to obtain British citizenship."
Hanshin Construction;Construction;"The Great Hanshin Earthquake occurred on January 17, 1995, at 05:46:53 JST in the southern part of Hyōgo Prefecture, Japan, including the region known as Hanshin. It measured 6.9 on the moment magnitude scale and had a maximum intensity of 7 on the JMA Seismic Intensity Scale (XI–XII on the Modified Mercalli intensity scale). The tremors lasted for approximately 20 seconds. The focus of the earthquake was located 17 km beneath its epicenter, on the northern end of Awaji Island, 20 km away from the center of the city of Kobe.
At least 5,000 people died as a result of this earthquake; about 4,600 of them were from Kobe. Among major cities, Kobe, with its population of 1.5 million, was the closest to the epicenter and hit by the strongest tremors. This was Japan's second deadliest earthquake in the 20th century after the 1923 Great Kantō earthquake, which claimed more than 105,000 lives.


== Earthquake ==
Most of the largest earthquakes in Japan are caused by subduction of the Philippine Sea plate or Pacific plate, with mechanisms that involve either energy released within the subducting plate or the accumulation and sudden release of stress in the overlying plate. Earthquakes of these types are especially frequent in the coastal regions of northeastern Japan.
The Great Hanshin earthquake belonged to a third type, called an ""inland shallow earthquake""."
Tokyo Tomin Bank;Banking;"Tokyo Skytree (東京スカイツリー, Tōkyō Sukaitsurī, [toːkʲoː sɯ̥kaitsɯriː] ), also written as Tokyo Sky Tree, is a broadcasting and observation tower, located in Sumida, Tokyo, Japan. It has been the tallest tower in Japan since opening in 2012, and reached its full height of 634 meters (2,080 ft) in early 2011, making it the tallest tower in the world, displacing the Canton Tower, and the third tallest structure in the world behind Merdeka 118 (678.9 m or 2,227 ft) and Burj Khalifa (829.8 m or 2,722 ft).
The tower is the primary television and radio broadcast site for the Kantō region; the older Tokyo Tower no longer gives complete digital terrestrial television broadcasting coverage because it is surrounded by high-rise buildings. Skytree was completed on Leap Day, 29 February 2012, with the tower opening to the public on 22 May 2012. The tower is the centrepiece of a large commercial development funded by Tobu Railway (which owns the complex) and a group of six terrestrial broadcasters headed by NHK. Trains stop at the adjacent Tokyo Skytree Station and nearby Oshiage Station. The complex is seven kilometres (4.3 miles) northeast of Tokyo Station. Sumida Aquarium is in the Tokyo Solamachi complex.


== Design ==
The tower's design was published on 24 November 2006, based on the following three concepts:

Fusion of neofuturistic design and the traditional beauty of Japan
Catalyst for revitalization of the city
Contribution to disaster prevention – ""Safety and Security""
The base of the tower has a structure similar to a tripod; from a height of about 350 m (1,150 ft) and above, the tower's structure is cylindrical to offer panoramic views of the river and the city. There are observatories at 350 m (1,150 ft), with a capacity of up to 2,000 people, and 450 m (1,480 ft), with a capacity of 900 people. The upper observatory features a spiral, glass-covered skywalk in which visitors ascend the last 5 metres to the highest point at the upper platform."
Teck Cominco;Materials;"Error: Page id ""tech resources"" does not match any pages. Try another id!"
Service Corp Intl;Business services & supplies;"DynCorp International Inc. (), was an American private military contractor. Starting as an aviation company, the company also provided flight operations support, training and mentoring, international development, intelligence training and support, contingency operations, security, and operations and maintenance of land vehicles. DynCorp received more than 96% of its more than $3 billion in annual revenue from the U.S. federal government. The corporate headquarters were in an unincorporated part of Fairfax County near Falls Church, Virginia, while the company's contracts were managed from its office at Alliance Airport in Fort Worth, Texas. DynCorp provided services for the U.S. military in several theaters, including Bolivia, Bosnia, Somalia, Angola, Haiti, Colombia, Kosovo and Kuwait. It also provided much of the security for Afghan president Hamid Karzai's presidential guard and trained much of the police forces of Iraq and Afghanistan. DynCorp was also hired to assist recovery in Louisiana and neighboring areas after Hurricane Katrina. The company held one contract on every round of competition since receiving the first Contract Field Teams contract in 1951.
In 2020, Dyncorp was bought by Germantown, Maryland-based defense support services conglomerate Amentum."
Bank of Iwate;Banking;"The Bank of Iwate, Limited (株式会社岩手銀行, Kabushiki-gaisha Iwate Ginkō) is a Japanese regional bank that is based out of Morioka, the capital of Iwate prefecture in the Tohoku region. The Morioka branch building, the site of the old Morioka Bank, is a historic landmark in the prefecture. The bank has branches in Sendai and Hachinohe; unfavorable business conditions forced the bank to close a branch in Sapporo.


== History ==
The bank was created from capital from Iwate prefecture in the wake of a 1932 banking crisis that affected other regional banks, including the Morioka Bank. Originally established as the Iwate Shokusan Bank, the bank changed its name to its current form in 1960.
During the bubble economy era of the late 1980s, the Bank of Iwate was known for its sound lending practices, and as a result, was relatively stable during the period following the collapse of the bubble.  While the bank has dropped in its rankings in recent years, it is said to maintain high standards. The bank has recently diversified, offering insurance and securities services for customers.


== Financial issues ==
The Bank of Iwate faces competition from national banks that are continuing to expand business services in Morioka, including the Bank of Tokyo-Mitsubishi, and the Sumitomo Mitsui Banking Corporation. One long-term issue that will face Japan's regional banks will be the level of competition from Japan Post, the Japanese postal system which is also the world's largest savings institution, by assets, when it is privatized in 2007."
Hudson United Bancorp;Banking;"Hudson United Bank (HUB) was a bank headquartered in Mahwah, New Jersey and is part of the Nondepository Credit Intermediation Industry. The bank is serving in New Jersey, the Philadelphia region, New York, and Connecticut  Hudson United Bank has 1,280 total employees across all of its locations. There are 2,879 companies in the Hudson United Bank corporate family.[1] HUB was acquired by TD Banknorth (now TD Bank, N.A.) in 2006.


== History ==
Hudson United Bank was founded in 1890. During the 1990s, it had acquired numerous regional banks, including Jefferson National Bank (1995), Growth Bank (1996), Middletown Savings Bank (1998), and many others.


== Acquisition by TD Banknorth ==
In July 2005, TD Banknorth agreed that it would buy HUB. The acquisition was finalized on January 31, 2006, and all HUB locations were converted to TD Banknorth."
Swedish Match;Food drink & tobacco;"Swedish Match AB is a Swedish multinational tobacco company headquartered in Stockholm. 
American Philip Morris International is the owner since 2022.
The company manufactures snus, nicotine pouches, moist snuff, tobacco- and nicotine-free pouch products, chewing tobacco, chew bags, tobacco bits, cigars, matches, lighters, and other fire products with operations in Sweden, Denmark, the United States, the Dominican Republic, Brazil, the Netherlands, and the Philippines. The company's origins can be traced back to 1868, and Ivar Kreuger. Swedish Match has played an important part in Sweden's industrial development.
In May 2022, Philip Morris launched a takeover bid for Swedish Match. Despite some shareholder resistance, by late November 2022 Philip Morris had acquired over 90% ownership, allowing it to begin the compulsory purchase of remaining shares and de-list Swedish Match from the stock market.


== History ==
The operations of Swedish Match originate from two companies: Svenska Tobaksmonopolet, a tobacco monopoly owned by the Swedish state and founded in 1915, and Svenska Tändsticks Aktiebolaget (STAB), a match manufacturing company founded in 1917 by Ivar Kreuger (also known as the ”Match King”) in connection with the acquisition of Jönköpings Tändsticksfabrik. In 1992, the tobacco and lights operations were joined in the Procordia Group. Two years later, they were merged into an independent company named Swedish Match, which became publicly listed in 1996."
Aichi Bank;Banking;"Aichi Bank (株式会社愛知銀行, Kabushiki-gaisha Aichi Ginkō) (TYO: 8527) is a Japanese regional bank, listed on the Tokyo Stock Exchange and Nagoya Stock Exchange. It is descended from a company founded in 1910.


== See also ==
Tokai Bank
List of banks
List of banks in Japan


== References ==


== External links ==
Company website (in Japanese)
Annual reports
""Company history books (Shashi)"". Shashi Interest Group. April 2016."
AK Steel Holding;Materials;"AK Steel Holdings Corporation was an American steelmaking company headquartered in West Chester Township, Ohio. The company, whose name was derived from the initials of Armco, its predecessor company, and Kawasaki Steel Corporation, was acquired by Cleveland-Cliffs in 2020.
AK Steel operated eight steel plants and two tube manufacturing plants in Ashland, Kentucky; Butler, Pennsylvania; Coshocton, Ohio; Dearborn, Michigan; Mansfield, Ohio; Middletown, Ohio; Rockport, Indiana;, and Zanesville, Ohio. The company had manufacturing operations in the United States, Canada, and Mexico, and facilities in Western Europe. AK Steel produced flat-rolled carbon, stainless and electrical steel products, primarily for the automotive, infrastructure and manufacturing sectors, including electrical power, and distributors and converters markets. The company also provided carbon and stainless steel tubing products, die design and tooling, and hot- and cold-stamped components. Of AK Steel's 2018 sales, 63% went to the automotive industry, 15% to infrastructure and manufacturing industry and 22% to distributors and converters.
The company was criticized for its record regarding pollution and worker safety.
In 2019, AK Steel was named GM Supplier of the Year for Non Fabricated Steel by General Motors for the second consecutive year. AK Steel was also presented with a Smart Pillar Award from Ford, as a top-performing global supplier at the 21st annual Ford World Excellence Awards."
